"","year","region","Category","gdp_income_scalingfactor","gdp_percap","Income"
"1627",2035,"Canada","d7",0.0634395696916546,71865.3053664861,4559.10404820923
"1628",2035,"Canada","d8",0.075048662643006,71865.3053664861,5393.39505818602
"1629",2035,"Canada","d9",0.0922112827802268,71865.3053664861,6626.7919952364
"1630",2035,"Canada","d10",0.143514349013427,71865.3053664861,10313.7025163224
"1631",2040,"Canada","d1",0.0158570509564658,76107.0437328208,1206.83327061731
"1632",2040,"Canada","d2",0.0264877772841677,76107.0437328208,2015.90642415137
"1633",2040,"Canada","d3",0.0336400531990181,76107.0437328208,2560.24499999209
"1634",2040,"Canada","d4",0.0402400753104289,76107.0437328208,3062.55317146282
"1635",2040,"Canada","d5",0.0470149766583156,76107.0437328208,3578.17088463198
"1636",2040,"Canada","d6",0.0545183790938178,76107.0437328208,4149.2326619357
"1637",2040,"Canada","d7",0.0634395696916546,76107.0437328208,4828.19810491409
"1638",2040,"Canada","d8",0.075048662643006,76107.0437328208,5711.73184986097
"1639",2040,"Canada","d9",0.0922112827802268,76107.0437328208,7017.92813121423
"1640",2040,"Canada","d10",0.143514349013427,76107.0437328208,10922.4528366522
"1641",2045,"Canada","d1",0.0158570509564658,80217.1977962623,1272.00819304023
"1642",2045,"Canada","d2",0.0264877772841677,80217.1977962623,2124.77526958742
"1643",2045,"Canada","d3",0.0336400531990181,80217.1977962623,2698.51080134242
"1644",2045,"Canada","d4",0.0402400753104289,80217.1977962623,3227.94608051317
"1645",2045,"Canada","d5",0.0470149766583156,80217.1977962623,3771.40968198676
"1646",2045,"Canada","d6",0.0545183790938178,80217.1977962623,4373.3115993004
"1647",2045,"Canada","d7",0.0634395696916546,80217.1977962623,5088.94451006522
"1648",2045,"Canada","d8",0.075048662643006,80217.1977962623,6020.19341557897
"1649",2045,"Canada","d9",0.0922112827802268,80217.1977962623,7396.93070982853
"1650",2045,"Canada","d10",0.143514349013427,80217.1977962623,11512.3189214119
"1651",2050,"Canada","d1",0.0158570509564658,83986.6047523427,1331.77987121845
"1652",2050,"Canada","d2",0.0264877772841677,83986.6047523427,2224.61848153347
"1653",2050,"Canada","d3",0.0336400531990181,83986.6047523427,2825.31385187371
"1654",2050,"Canada","d4",0.0402400753104289,83986.6047523427,3379.6273003015
"1655",2050,"Canada","d5",0.0470149766583156,83986.6047523427,3948.62826204257
"1656",2050,"Canada","d6",0.0545183790938178,83986.6047523427,4578.81355669086
"1657",2050,"Canada","d7",0.0634395696916546,83986.6047523427,5328.07406535169
"1658",2050,"Canada","d8",0.075048662643006,83986.6047523427,6303.08236659005
"1659",2050,"Canada","d9",0.0922112827802268,83986.6047523427,7744.51256056941
"1660",2050,"Canada","d10",0.143514349013427,83986.6047523427,12053.2829068805
"1661",2055,"Canada","d1",0.0158570509564658,87659.1928251121,1390.01628743047
"1662",2055,"Canada","d2",0.0264877772841677,87659.1928251121,2321.89717646148
"1663",2055,"Canada","d3",0.0336400531990181,87659.1928251121,2948.85991001975
"1664",2055,"Canada","d4",0.0402400753104289,87659.1928251121,3527.41252093392
"1665",2055,"Canada","d5",0.0470149766583156,87659.1928251121,4121.29490455943
"1666",2055,"Canada","d6",0.0545183790938178,87659.1928251121,4779.03710549754
"1667",2055,"Canada","d7",0.0634395696916546,87659.1928251121,5561.06147234289
"1668",2055,"Canada","d8",0.075048662643006,87659.1928251121,6578.70518989005
"1669",2055,"Canada","d9",0.0922112827802268,87659.1928251121,8083.16661788284
"1670",2055,"Canada","d10",0.143514349013427,87659.1928251121,12580.3519933385
"1671",2060,"Canada","d1",0.0158570509564658,91765.5220701353,1455.13055951282
"1672",2060,"Canada","d2",0.0264877772841677,91765.5220701353,2430.66471095912
"1673",2060,"Canada","d3",0.0336400531990181,91765.5220701353,3086.99704427502
"1674",2060,"Canada","d4",0.0402400753104289,91765.5220701353,3692.65151900307
"1675",2060,"Canada","d5",0.0470149766583156,91765.5220701353,4314.35387816556
